algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	transpose	cw	N-t70f11xx_250	250	11396195	16.118933	0.004378
II	first	transpose	cw	N-t70l11xx_150	150	350517	19.764823	0.000986
II	first	transpose	cw	N-t70l11xx_250	250	899746	19.169583	0.004691
II	first	transpose	cw	N-t70n11xx_150	150	755586	20.373522	0.000991
II	first	transpose	cw	N-t70n11xx_250	250	2011095	17.726099	0.004354
II	first	transpose	cw	N-t74d11xx_150	150	7814438	16.832680	0.001
II	first	transpose	cw	N-t74d11xx_250	250	20274503	17.010661	0.00438
II	first	transpose	cw	N-t75d11xx_150	150	7931194	17.744463	0.001005
II	first	transpose	cw	N-t75d11xx_250	250	21036170	15.912698	0.004607
II	first	transpose	cw	N-t75e11xx_150	150	33438338	19.561745	0.001063
II	first	transpose	cw	N-t75e11xx_250	250	89060471	16.667690	0.004504
II	first	transpose	cw	N-t75k11xx_150	150	1232216	20.068812	0.00105
II	first	transpose	cw	N-t75k11xx_250	250	3461841	15.437990	0.004409
II	first	transpose	cw	N-t75n11xx_150	150	1391317	20.181184	0.001064
II	first	transpose	cw	N-t75n11xx_250	250	3799507	16.031918	0.004417
II	first	transpose	cw	N-tiw56n54_150	150	697347	16.778906	0.001083
II	first	transpose	cw	N-tiw56n54_250	250	1769814	15.671984	0.004396
II	first	transpose	cw	N-tiw56n58_150	150	956303	17.231295	0.001118
II	first	transpose	cw	N-tiw56n58_250	250	2459921	15.369409	0.005315
II	first	transpose	cw	N-tiw56n62_150	150	1357563	16.556305	0.001148
II	first	transpose	cw	N-tiw56n62_250	250	3484931	15.878699	0.004316
II	first	transpose	cw	N-tiw56n66_150	150	1743166	17.292167	0.000981
II	first	transpose	cw	N-tiw56n66_250	250	4516128	15.907109	0.004394
II	first	transpose	cw	N-tiw56n67_150	150	2022924	14.749807	0.000997
II	first	transpose	cw	N-tiw56n67_250	250	5286358	16.419341	0.004574
II	first	transpose	cw	N-tiw56n72_150	150	3500512	15.362894	0.001062
II	first	transpose	cw	N-tiw56n72_250	250	9432888	15.397877	0.004487
II	first	transpose	cw	N-tiw56r54_150	150	802129	16.287237	0.001028
II	first	transpose	cw	N-tiw56r54_250	250	2000534	16.202700	0.004682
II	first	transpose	cw	N-tiw56r58_150	150	1008879	17.257186	0.001
II	first	transpose	cw	N-tiw56r58_250	250	2581855	15.634559	0.004491
II	first	transpose	cw	N-tiw56r66_150	150	1613234	16.875958	0.00098
II	first	transpose	cw	N-tiw56r66_250	250	4134423	16.449533	0.004293
II	first	transpose	cw	N-tiw56r67_150	150	1724489	16.138230	0.000995
II	first	transpose	cw	N-tiw56r67_250	250	4425681	16.333324	0.004391
II	first	transpose	cw	N-tiw56r72_150	150	2360333	16.411640	0.001031
II	first	transpose	cw	N-tiw56r72_250	250	6274987	15.789835	0.004334
II	first	exchange	random	N-be75eec_150	150	3397099	2.461477	0.332503
II	first	exchange	random	N-be75eec_250	250	8707547	2.091250	6.00077
II	first	exchange	random	N-be75np_150	150	7002130	2.400156	0.339935
II	first	exchange	random	N-be75np_250	250	17401607	2.315389	5.75216
II	first	exchange	random	N-be75oi_150	150	2200985	2.027523	0.354992
II	first	exchange	random	N-be75oi_250	250	5761454	2.515052	6.65372
II	first	exchange	random	N-be75tot_150	150	11881492	3.305865	0.375867
II	first	exchange	random	N-be75tot_250	250	30351180	1.962068	5.81695
II	first	exchange	random	N-stabu1_150	150	2800349	2.621350	0.389434
II	first	exchange	random	N-stabu1_250	250	7551833	2.461897	6.23163
II	first	exchange	random	N-stabu2_150	150	4215338	2.592698	0.431917
II	first	exchange	random	N-stabu2_250	250	11173048	2.846846	5.502
II	first	exchange	random	N-stabu3_150	150	4398699	2.477494	0.396601
II	first	exchange	random	N-stabu3_250	250	11567513	2.796581	6.54689
II	first	exchange	random	N-t59b11xx_150	150	3173245	2.046735	0.267524
II	first	exchange	random	N-t59b11xx_250	250	8156485	3.036469	3.47546
II	first	exchange	random	N-t59d11xx_150	150	1420614	2.877083	0.285673
II	first	exchange	random	N-t59d11xx_250	250	3749417	2.388597	4.10808
II	first	exchange	random	N-t59f11xx_150	150	1489560	3.509221	0.269334
II	first	exchange	random	N-t59f11xx_250	250	3867492	3.143346	4.23436
II	first	exchange	random	N-t59n11xx_150	150	309357	3.010722	0.358874
II	first	exchange	random	N-t59n11xx_250	250	804222	2.590333	4.7626
II	first	exchange	random	N-t65b11xx_150	150	6288862	2.556216	0.399824
II	first	exchange	random	N-t65b11xx_250	250	16760124	2.974830	5.55591
II	first	exchange	random	N-t65d11xx_150	150	3451744	3.023111	0.328983
II	first	exchange	random	N-t65d11xx_250	250	9075505	2.953379	4.8281
II	first	exchange	random	N-t65f11xx_150	150	3060658	3.123071	0.330221
II	first	exchange	random	N-t65f11xx_250	250	8149745	3.089600	5.26119
II	first	exchange	random	N-t65l11xx_150	150	250051	1.320068	0.284208
II	first	exchange	random	N-t65l11xx_250	250	652205	2.108655	4.67826
II	first	exchange	random	N-t65n11xx_150	150	535610	2.745977	0.384072
II	first	exchange	random	N-t65n11xx_250	250	1390315	2.731778	5.12565
II	first	exchange	random	N-t69r11xx_150	150	11426358	3.623486	0.312127
II	first	exchange	random	N-t69r11xx_250	250	30982032	2.620999	5.89744
II	first	exchange	random	N-t70b11xx_150	150	9387680	2.690399	0.294534
II	first	exchange	random	N-t70b11xx_250	250	24607212	3.132825	4.88697
II	first	exchange	random	N-t70d11xn_150	150	5632012	3.315539	0.383088
II	first	exchange	random	N-t70d11xn_250	250	14702964	3.314900	5.7906
II	first	exchange	random	N-t70d11xx_150	150	5968613	3.329431	0.364122
II	first	exchange	random	N-t70d11xx_250	250	15546031	3.083075	6.04205
II	first	exchange	random	N-t70f11xx_150	150	4944910	3.984139	0.30829
II	first	exchange	random	N-t70f11xx_250	250	13162843	3.115618	4.67717
II	first	exchange	random	N-t70l11xx_150	150	422865	3.203987	0.292367
II	first	exchange	random	N-t70l11xx_250	250	1087354	2.315457	4.61017
II	first	exchange	random	N-t70n11xx_150	150	917529	3.307363	0.413935
II	first	exchange	random	N-t70n11xx_250	250	2377866	2.721497	5.45836
II	first	exchange	random	N-t74d11xx_150	150	9119373	2.944548	0.401053
II	first	exchange	random	N-t74d11xx_250	250	23768286	2.709608	5.99873
II	first	exchange	random	N-t75d11xx_150	150	9389095	2.624366	0.40589
II	first	exchange	random	N-t75d11xx_250	250	24450066	2.266425	6.25719
II	first	exchange	random	N-t75e11xx_150	150	40263882	3.142422	0.423702
II	first	exchange	random	N-t75e11xx_250	250	103832819	2.845465	6.34396
II	first	exchange	random	N-t75k11xx_150	150	1500214	2.684361	0.359313
